"title","date","link"
"Amid the pandemic the idea of a united Europe has crashed","22.03.2020","https://euvsdisinfo.eu/report/amid-the-pandemic-the-idea-of-a-united-europe-has-crashed/"
"After the COVID-19 pandemic Italy or Germany may leave the EU","22.03.2020","https://euvsdisinfo.eu/report/italy-or-germany-may-leave-the-eu/"
"COVID-19 is a fake, it's a political move to install hegemony","21.03.2020","https://euvsdisinfo.eu/report/covid-19-is-a-fake-its-a-political-move-to-install-hegemony/"
"Ukraine is in free fall","20.03.2020","https://euvsdisinfo.eu/report/ukraine-is-in-free-fall/"
"The official numbers of COVID-19 cases in Ukraine is totally fictional","20.03.2020","https://euvsdisinfo.eu/report/the-official-numbers-of-covid-19-cases-in-ukraine-is-totally-fictional/"
"Zelenskii is unable to handle the Ukronazis","20.03.2020","https://euvsdisinfo.eu/report/zelenskii-is-unable-to-handle-the-ukronazis/"
"There is no solution for the Ukraine. None whatsoever.","20.03.2020","https://euvsdisinfo.eu/report/there-is-no-solution-for-the-ukraine-none-whatsoever/"
"The West is attacking Russia on coronavirus","20.03.2020","https://euvsdisinfo.eu/report/the-west-is-attacking-russia-on-coronavirus/"
"Coronavirus will cause the dissolution of the EU and NATO","20.03.2020","https://euvsdisinfo.eu/report/coronavirus-will-cause-the-dissolution-of-the-eu-and-nato/"
"Pentagon-funded biological laboratories involved in creation of Coronavirus","19.03.2020","https://euvsdisinfo.eu/report/pentagon-funded-biological-laboratories-involved-in-creation-of-coronavirus/"
"The Baltic states may not survive the coronavirus-related economic crisis","19.03.2020","https://euvsdisinfo.eu/report/the-baltic-states-may-not-survive-the-coronavirus-related-economic-crisis/"
"Coronavirus was developed in a laboratory; it has HIV inserts","19.03.2020","https://euvsdisinfo.eu/report/coronavirus-was-developed-in-a-laboratory-it-has-hiv-inserts/"
"The coronavirus will provoke the definite, rapid and irreversibile collapse of globalisation","19.03.2020","https://euvsdisinfo.eu/report/the-coronavirus-will-provoke-the-definite-rapid-and-irreversibile-collapse-of-globalisation/"
"Only authoritarian states and closed societies will be able to protect their populations from the coronavirus and from future pandemics","19.03.2020","https://euvsdisinfo.eu/report/only-authoritarian-states-and-closed-societies-will-be-able-to-protect-their-populations-from-the-coronavirus-and-from-future-pandemics/"
"The Baltic States may not survive the economic shock of COVID-19 pandemic","19.03.2020","https://euvsdisinfo.eu/report/the-baltic-states-may-not-survive-the-economic-shock-of-covid-19-pandemic/"
"Russia prevents the Black Sea from turning into NATO's zone of influence","18.03.2020","https://euvsdisinfo.eu/report/russia-prevents-natos-plans-to-turn-the-black-sea-into-natos-internal-sea-or-zone-of-influence/"
"The French government systematically lied to the population","18.03.2020","https://euvsdisinfo.eu/report/the-french-government-systematically-lied-to-the-population-for-instance-the-could-of-chernobyl-stopped-at-the-french-borders/"
"Mainstream media ignores the fake news campaign against Russia","18.03.2020","https://euvsdisinfo.eu/report/mainstream-media-ignores-the-fake-news-campaign-against-russia/"
"Areas most affected by coronavirus are at the 40 degrees north latitude","18.03.2020","https://euvsdisinfo.eu/report/the-areas-most-affected-by-the-coronavirus-are-at-the-same-about-40-degrees-north-latitude/"
"Germany called for lifting sanctions against Russia because of coronavirus","18.03.2020","https://euvsdisinfo.eu/report/germany-called-for-lifting-sanctions-against-russia-because-of-coronavirus/"
"Poland has made Russophobia a cornerstone of its policies","18.03.2020","https://euvsdisinfo.eu/report/poland-has-made-russophobia-a-cornerstone-of-its-policies/"
"COVID-2019 was created by the US in 2015","18.03.2020","https://euvsdisinfo.eu/report/covid-2019-was-created-by-the-us-in-2015/"
"The COVID-19 outbreak is only an attempt to distract the world from the real issues","17.03.2020","https://euvsdisinfo.eu/report/the-covid-19-outbreak-is-only-an-attempt-to-distract-the-world-from-the-real-issues/"
"The coronavirus pandemic is a turning point in history: world order is falling","17.03.2020","https://euvsdisinfo.eu/report/the-coronavirus-pandemic-is-a-turning-point-in-history/"
"Panic in Ukraine due to coronavirus, metro banned in Lviv","17.03.2020","https://euvsdisinfo.eu/report/panic-in-ukraine-due-to-coronavirus-metro-banned-in-lviv/"
"Financial circles and governments are using the coronavirus crisis to achieve own goals","17.03.2020","https://euvsdisinfo.eu/report/financial-circles-and-governments-are-using-the-coronavirus-crisis-to-achieve-own-goals/"
"The Washington establishment attacked China with the coronavirus: Russia is the next target","17.03.2020","https://euvsdisinfo.eu/report/the-washington-establishment-attacked-china-with-the-coronavirus-russia-is-the-next-target/"
"The myth about ""European unity"" is destroyed; only ""Bad guys"" like China and Cuba offer help with the coronavirus","17.03.2020","https://euvsdisinfo.eu/report/the-myth-about-european-unity-is-destroyed-only-bad-guys-like-china-and-cuba-offer-help-with-the-coronavirus/"
"Coronavirus: Distance working allows corporations to limit social obligations to the workforce","17.03.2020","https://euvsdisinfo.eu/report/coronavirus-distance-working-allows-corporations-to-limit-social-obligations-to-the-workforce/"
"Default awaits Ukraine due to coronavirus - the country has run out of currency","17.03.2020","https://euvsdisinfo.eu/report/default-awaits-ukraine-due-to-coronavirus-the-country-has-run-out-of-currency/"
"Sweden declines treatment for coronavirus because virus is safe","17.03.2020","https://euvsdisinfo.eu/report/sweden-declines-treatment-for-coronavirus-because-virus-is-safe/"
"During the Polish-Soviet War, the Poles were driven by Russophobia and anti-Semitism","17.03.2020","https://euvsdisinfo.eu/report/during-the-polish-soviet-war-the-poles-were-driven-by-russophobia-anti-semitism-and-desire-to-take-land-from-the-russians/"
"Coronavirus epidemic is provoking the collapse of globalisation and of the open society","17.03.2020","https://euvsdisinfo.eu/report/the-coronavirus-epidemic-is-provoking-the-collapse-of-globalisation-and-of-the-open-society/"
"The COVID-19 outbreak is a pretext by the ruling class to introduce tyranny","16.03.2020","https://euvsdisinfo.eu/report/the-covid-19-outbreak-is-a-pretext-by-the-ruling-class-to-introduce-tyranny/"
"The reason behind the coronavirus scaremongering is to weaken China as a state","16.03.2020","https://euvsdisinfo.eu/report/the-reason-behind-the-coronavirus-scaremongering-is-to-weaken-china-as-a-state/"
"COVID-19 is a biological weapon to make the planet's population infertile","16.03.2020","https://euvsdisinfo.eu/report/covid-19-is-a-biological-weapon-to-make-the-planets-population-infertile/"
"US uses fascist instruments to control satellite countries","16.03.2020","https://euvsdisinfo.eu/report/us-uses-fascist-instruments-to-control-satellite-countries/"
"The COVID-19 outbreak stinks of a secret germ warfare 007 super-virus","16.03.2020","https://euvsdisinfo.eu/report/the-covid-19-outbreak-stinks-of-a-secret-germ-warfare-007-super-virus/"
"The Hague court did not recognise the sovereignty of Ukraine over Crimea","16.03.2020","https://euvsdisinfo.eu/report/the-hague-court-did-not-recognise-the-sovereignty-of-ukraine-over-crimea/"
"Coronavirus was created in the USA, at Fort Detrick","16.03.2020","https://euvsdisinfo.eu/report/coronavirus-was-created-in-usa-the-expert-names-the-location-of-the-laboratory/"
"Response measures to coronavirus demonstrate the decline of the US and the EU","16.03.2020","https://euvsdisinfo.eu/report/response-measures-to-coronavirus-spread-demonstrate-the-decline-of-the-us-and-the-eu/"
"Coronavirus is a biological weapon created artificially","16.03.2020","https://euvsdisinfo.eu/report/coronavirus-is-a-biological-weapon-created-artificially/"
"Lithuania will become a black hole in the energy map of Europe","16.03.2020","https://euvsdisinfo.eu/report/lithuania-will-become-a-black-hole-in-the-energy-map-of-europe/"
"There are reasons to suspect that coronavirus is a US biological weapon","15.03.2020","https://euvsdisinfo.eu/report/there-are-enough-reasons-for-suspicions-that-the-coronavirus-is-a-us-biological-weapon/"
"Coronavirus could have originated from Latvia","15.03.2020","https://euvsdisinfo.eu/report/coronavirus-could-have-originated-from-latvia/"
"Coronavirus can be cured with saline in 4 days","15.03.2020","https://euvsdisinfo.eu/report/coronavirus-can-be-cured-with-saline-in-4-days/"
"The Schengen zone has collapsed","15.03.2020","https://euvsdisinfo.eu/report/the-schengen-zone-collapsed/"
"Coronavirus was created in a laboratory","14.03.2020","https://euvsdisinfo.eu/report/coronavirus-was-created-in-the-laboratory/"
"Coronavirus COVID-19 reached NATO and disrupts its anti-Russian plans","14.03.2020","https://euvsdisinfo.eu/report/coronavirus-covid-19-reached-nato-and-disrupts-its-anti-russian-plans/"
"Polish President refused to take part in the World Holocaust Forum to not be reminded about role of the Red Army","14.03.2020","https://euvsdisinfo.eu/report/polish-president-refused-to-take-part-in-the-world-holocaust-forum-as-he-did-not-want-to-remind-about-the-role-of-the-red-army-in-auschwitz-liberation/"
"The Polish authorities destroy the burial places of the Soviet soldiers","14.03.2020","https://euvsdisinfo.eu/report/the-polish-authorities-destroy-the-burial-places-of-the-soviet-soldiers-in-order-to-make-history-more-comfortable/"
"The Italian government might fuel the hysteria to gain benefits from EU funding","14.03.2020","https://euvsdisinfo.eu/report/the-italian-government-might-fuel-the-hysteria-to-gain-benefits-from-eu-funding/"
"Coronavirus: Western leaders sold their people for profit","14.03.2020","https://euvsdisinfo.eu/report/coronavirus-western-leaders-sold-their-people-for-profit/"
"Americans were ill with coronavirus in September 2019 and hid it","14.03.2020","https://euvsdisinfo.eu/report/americans-were-ill-with-coronavirus-in-september-2019-and-hid-it/"
"Coronavirus got on Earth out of space through a meteorite and spreads through the wind","14.03.2020","https://euvsdisinfo.eu/report/coronavirus-got-on-earth-out-of-space-through-a-meteorite-and-spreads-through-the-wind/"
"There is not the slightest trace of a coronavirus pandemic","13.03.2020","https://euvsdisinfo.eu/report/there-is-not-the-slightest-trace-of-a-coronavirus-pandemic/"
"WHO received orders from ""above"" to declare a coronavirus pandemic","13.03.2020","https://euvsdisinfo.eu/report/who-received-orders-from-above-to-declare-a-coronavirus-pandemic/"
