"year","lang","n"
2010,"(выберите из списка)",81
2010,"1C",22
2010,"Asm",53
2010,"Basic",147
2010,"C/C++",634
2010,"C#",185
2010,"DBase-подобные ",34
2010,"Fortran",16
2010,"Haskell",1
2010,"Java",224
2010,"JavaScript",23
2010,"Lisp",3
2010,"Lua",1
2010,"Objective-C",9
2010,"Pascal/Delphi",396
2010,"Perl",55
2010,"PHP",347
2010,"Python",30
2010,"Ruby",6
2010,"другой",126
2014,"1C",20
2014,"Asm",65
2014,"Basic",1571
2014,"C#",218
2014,"Fortran",25
2014,"Haskell",1
2014,"Java",243
2014,"JavaScript",113
2014,"Lisp",1
2014,"Lua",7
2014,"Objective-C",48
2014,"Pascal/Delphi",2352
2014,"Perl",25
2014,"PHP",260
2014,"Python",65
2014,"Ruby",34
2014,"ActionScript",38
2014,"Algol",3
2014,"C",288
2014,"C++",494
2014,"ColdFusion",1
2014,"Focal",5
2014,"Groovy",4
2014,"PL/SQL",14
2014,"Prolog",1
2014,"QBasic",4
2014,"Scala",5
2014,"Sinclair BASIC",1
2014,"Algo",1
2014,"Go",2
2014,"Logo",10
2014,"MK-61",2
2014,"Visual Basic",6
2014,"Лого",1
2014,"МК-61",4
2014,"Фокал",2
2014,"basic",1
2014,"BASIC",1
2014,"Erlang",4
2014,"Forth",1
2014,"fortran",4
2014,"GWBasic",1
2014,"qbasic",1
2014,"T-SQL",6
2014,"мк-52",1
2014,"МК-52",1
2014,"УАМ",1
2014,"abac",1
2014,"Abap",1
2014,"ABAP",4
2014,"actionscript 2",1
2014,"algol",1
2014,"Algol 60",1
2014,"android",1
2014,"Assember калькулятора Б3-34",1
2014,"assembler",2
2014,"autoit",1
2014,"Autoit",1
2014,"AutoIt 3",1
2014,"bytecode",1
2014,"C\AL",1
2014,"CoffeeScript",1
2014,"Dbase (Clipper, Foxpro, .. )",14
2014,"dynamics",1
2014,"FORNTRAN-77",1
2014,"ForTran",1
2014,"FORTRAN",8
2014,"Fortran-66",1
2014,"foxpro",1
2014,"gw-basic",1
2014,"GW-BASIC",2
2014,"Haxe",1
2014,"HEX bytecodes",1
2014,"html",1
2014,"i8080 machine code",1
2014,"Labview",1
2014,"Logo writer",1
2014,"mk",1
2014,"mk52",1
2014,"mk52 codes",1
2014,"MK63",1
2014,"MSX BASIC",1
2014,"Objective Caml",1
2014,"PDP-11 ASM",1
2014,"PL/1",2
2014,"PL/I (at 1983)",1
2014,"PL\1",1
2014,"pseudocode",1
2014,"Q Basic",1
2014,"QA",1
2014,"QBASIC",1
2014,"qwbasic",1
2014,"R",1
2014,"ROO",1
2014,"Shell",1
