"date","iran_non.iran"
"2020-04-05",23
"2020-04-04",27
"2020-04-03",38
"2020-04-02",39
"2020-04-01",35
"2020-03-31",12
"2020-03-30",21
"2020-03-29",42
"2020-03-28",28
"2020-03-27",26
"2020-03-26",33
"2020-03-25",35
"2020-03-24",33
"2020-03-23",32
"2020-03-22",34
"2020-03-21",25
"2020-03-20",36
"2020-03-19",50
"2020-03-18",52
"2020-03-17",44
"2020-03-16",53
"2020-03-15",65
"2020-03-14",41
"2020-03-13",48
"2020-03-12",58
"2020-03-11",55
"2020-03-10",42
"2020-03-09",45
"2020-03-08",58
"2020-03-07",49
"2020-03-06",50
"2020-03-05",52
"2020-03-04",64
"2020-03-03",46
"2020-03-02",62
"2020-03-01",65
"2020-02-29",70
"2020-02-28",77
"2020-02-27",79
"2020-02-26",88
"2020-02-25",109
"2020-02-24",149
"2020-02-23",162
"2020-02-22",155
"2020-02-21",162
"2020-02-20",158
"2020-02-19",172
"2020-02-18",169
"2020-02-17",153
"2020-02-16",169
"2020-02-15",165
"2020-02-14",180
"2020-02-13",182
"2020-02-12",166
"2020-02-11",175
"2020-02-10",167
"2020-02-09",178
"2020-02-08",177
"2020-02-07",189
"2020-02-06",178
"2020-02-05",182
"2020-02-04",181
"2020-02-03",177
"2020-02-02",184
"2020-02-01",179
"2020-01-31",188
"2020-01-30",169
"2020-01-29",174
"2020-01-28",191
"2020-01-27",173
"2020-01-26",190
"2020-01-25",177
"2020-01-24",182
"2020-01-23",189
"2020-01-22",174
"2020-01-21",182
"2020-01-20",179
"2020-01-19",166
"2020-01-18",180
"2020-01-17",182
"2020-01-16",184
"2020-01-15",176
"2020-01-14",184
"2020-01-13",168
"2020-01-12",190
"2020-01-11",166
"2020-01-10",194
"2020-01-09",168
"2020-01-08",165
"2020-01-07",205
"2020-01-06",184
"2020-01-05",195
"2020-01-04",189
"2020-01-03",196
"2020-01-02",204
"2020-01-01",195
"2019-12-31",208
"2019-12-30",187
"2019-12-29",188
"2019-12-28",196
"2019-12-27",206
"2019-12-26",210
"2019-12-25",221
"2019-12-24",208
"2019-12-23",204
"2019-12-22",209
"2019-12-21",186
"2019-12-20",211
"2019-12-19",201
"2019-12-18",202
"2019-12-17",197
"2019-12-16",184
"2019-12-15",194
"2019-12-14",189
"2019-12-13",209
"2019-12-12",192
"2019-12-11",202
"2019-12-10",211
"2019-12-09",195
"2019-12-08",200
"2019-12-07",196
"2019-12-06",203
"2019-12-05",195
"2019-12-04",217
"2019-12-03",208
"2019-12-02",183
"2019-12-01",203
"2019-11-30",190
"2019-11-29",191
"2019-11-28",196
"2019-11-27",206
"2019-11-26",196
"2019-11-25",171
"2019-11-24",193
"2019-11-23",183
"2019-11-22",148
"2019-11-21",121
"2019-11-20",117
"2019-11-19",109
"2019-11-18",104
"2019-11-17",113
"2019-11-16",179
"2019-11-15",199
"2019-11-14",218
