"day","month","y2019","y2020"
1,1,185,195
2,1,165,204
3,1,145,196
4,1,165,189
5,1,175,195
6,1,184,184
7,1,166,205
8,1,175,165
9,1,176,168
10,1,148,194
11,1,168,166
12,1,170,190
13,1,197,168
14,1,173,184
15,1,166,176
16,1,175,184
17,1,164,182
18,1,167,180
19,1,164,166
20,1,171,179
21,1,157,182
22,1,163,174
23,1,179,189
24,1,153,182
25,1,141,177
26,1,152,190
27,1,159,173
28,1,154,191
29,1,173,174
30,1,175,169
31,1,166,188
1,2,153,179
2,2,169,184
3,2,172,177
4,2,166,181
5,2,172,182
6,2,178,178
7,2,179,189
8,2,159,177
9,2,165,178
10,2,142,167
11,2,189,175
12,2,185,166
13,2,178,182
14,2,182,180
15,2,177,165
16,2,162,169
17,2,178,153
18,2,167,169
19,2,159,172
20,2,177,158
21,2,176,162
22,2,175,155
23,2,159,162
24,2,180,149
25,2,162,109
26,2,164,88
27,2,169,79
28,2,163,77
1,3,157,65
2,3,152,62
3,3,161,46
4,3,163,64
5,3,165,52
6,3,177,50
7,3,174,49
8,3,169,58
9,3,165,45
10,3,172,42
11,3,174,55
12,3,180,58
13,3,186,48
14,3,185,41
15,3,181,65
16,3,178,53
17,3,191,44
18,3,207,52
19,3,222,50
20,3,215,36
21,3,212,25
22,3,209,34
23,3,181,32
24,3,197,33
25,3,209,35
26,3,220,33
27,3,207,26
28,3,210,28
29,3,210,42
30,3,183,21
31,3,236,12
1,4,202,35
2,4,215,39
3,4,204,38
4,4,233,27
5,4,194,23
