"day","month","y2019","y2020","change","date"
1,1,185,195,1.05405405405405,2020-01-01
2,1,165,204,1.23636363636364,2020-01-02
3,1,145,196,1.35172413793103,2020-01-03
4,1,165,189,1.14545454545455,2020-01-04
5,1,175,195,1.11428571428571,2020-01-05
6,1,184,184,1,2020-01-06
7,1,166,205,1.23493975903614,2020-01-07
8,1,175,165,0.942857142857143,2020-01-08
9,1,176,168,0.954545454545455,2020-01-09
10,1,148,194,1.31081081081081,2020-01-10
11,1,168,166,0.988095238095238,2020-01-11
12,1,170,190,1.11764705882353,2020-01-12
13,1,197,168,0.852791878172589,2020-01-13
14,1,173,184,1.0635838150289,2020-01-14
15,1,166,176,1.06024096385542,2020-01-15
16,1,175,184,1.05142857142857,2020-01-16
17,1,164,182,1.10975609756098,2020-01-17
18,1,167,180,1.07784431137725,2020-01-18
19,1,164,166,1.01219512195122,2020-01-19
20,1,171,179,1.04678362573099,2020-01-20
21,1,157,182,1.15923566878981,2020-01-21
22,1,163,174,1.06748466257669,2020-01-22
23,1,179,189,1.05586592178771,2020-01-23
24,1,153,182,1.18954248366013,2020-01-24
25,1,141,177,1.25531914893617,2020-01-25
26,1,152,190,1.25,2020-01-26
27,1,159,173,1.08805031446541,2020-01-27
28,1,154,191,1.24025974025974,2020-01-28
29,1,173,174,1.00578034682081,2020-01-29
30,1,175,169,0.965714285714286,2020-01-30
31,1,166,188,1.13253012048193,2020-01-31
1,2,153,179,1.16993464052288,2020-02-01
2,2,169,184,1.0887573964497,2020-02-02
3,2,172,177,1.02906976744186,2020-02-03
4,2,166,181,1.09036144578313,2020-02-04
5,2,172,182,1.05813953488372,2020-02-05
6,2,178,178,1,2020-02-06
7,2,179,189,1.05586592178771,2020-02-07
8,2,159,177,1.11320754716981,2020-02-08
9,2,165,178,1.07878787878788,2020-02-09
10,2,142,167,1.17605633802817,2020-02-10
11,2,189,175,0.925925925925926,2020-02-11
12,2,185,166,0.897297297297297,2020-02-12
13,2,178,182,1.02247191011236,2020-02-13
14,2,182,180,0.989010989010989,2020-02-14
15,2,177,165,0.932203389830508,2020-02-15
16,2,162,169,1.04320987654321,2020-02-16
17,2,178,153,0.859550561797753,2020-02-17
18,2,167,169,1.01197604790419,2020-02-18
19,2,159,172,1.08176100628931,2020-02-19
20,2,177,158,0.892655367231638,2020-02-20
21,2,176,162,0.920454545454545,2020-02-21
22,2,175,155,0.885714285714286,2020-02-22
23,2,159,162,1.0188679245283,2020-02-23
24,2,180,149,0.827777777777778,2020-02-24
25,2,162,109,0.672839506172839,2020-02-25
26,2,164,88,0.536585365853659,2020-02-26
27,2,169,79,0.467455621301775,2020-02-27
28,2,163,77,0.47239263803681,2020-02-28
1,3,157,65,0.414012738853503,2020-03-01
2,3,152,62,0.407894736842105,2020-03-02
3,3,161,46,0.285714285714286,2020-03-03
4,3,163,64,0.392638036809816,2020-03-04
5,3,165,52,0.315151515151515,2020-03-05
6,3,177,50,0.282485875706215,2020-03-06
7,3,174,49,0.281609195402299,2020-03-07
8,3,169,58,0.343195266272189,2020-03-08
9,3,165,45,0.272727272727273,2020-03-09
10,3,172,42,0.244186046511628,2020-03-10
11,3,174,55,0.316091954022989,2020-03-11
12,3,180,58,0.322222222222222,2020-03-12
13,3,186,48,0.258064516129032,2020-03-13
14,3,185,41,0.221621621621622,2020-03-14
15,3,181,65,0.359116022099448,2020-03-15
16,3,178,53,0.297752808988764,2020-03-16
17,3,191,44,0.230366492146597,2020-03-17
18,3,207,52,0.251207729468599,2020-03-18
19,3,222,50,0.225225225225225,2020-03-19
20,3,215,36,0.167441860465116,2020-03-20
21,3,212,25,0.117924528301887,2020-03-21
22,3,209,34,0.162679425837321,2020-03-22
23,3,181,32,0.176795580110497,2020-03-23
24,3,197,33,0.16751269035533,2020-03-24
25,3,209,35,0.167464114832536,2020-03-25
26,3,220,33,0.15,2020-03-26
27,3,207,26,0.1256038647343,2020-03-27
28,3,210,28,0.133333333333333,2020-03-28
29,3,210,42,0.2,2020-03-29
30,3,183,21,0.114754098360656,2020-03-30
31,3,236,12,0.0508474576271186,2020-03-31
1,4,202,35,0.173267326732673,2020-04-01
2,4,215,39,0.181395348837209,2020-04-02
3,4,204,38,0.186274509803922,2020-04-03
4,4,233,27,0.11587982832618,2020-04-04
5,4,194,23,0.118556701030928,2020-04-05
