"country","date","cases","deaths","recovered","active_cases","change"
"Iran",2020-01-22,0,0,0,0,1.06748466257669
"Iran",2020-01-23,0,0,0,0,1.05586592178771
"Iran",2020-01-24,0,0,0,0,1.18954248366013
"Iran",2020-01-25,0,0,0,0,1.25531914893617
"Iran",2020-01-26,0,0,0,0,1.25
"Iran",2020-01-27,0,0,0,0,1.08805031446541
"Iran",2020-01-28,0,0,0,0,1.24025974025974
"Iran",2020-01-29,0,0,0,0,1.00578034682081
"Iran",2020-01-30,0,0,0,0,0.965714285714286
"Iran",2020-01-31,0,0,0,0,1.13253012048193
"Iran",2020-02-01,0,0,0,0,1.16993464052288
"Iran",2020-02-02,0,0,0,0,1.0887573964497
"Iran",2020-02-03,0,0,0,0,1.02906976744186
"Iran",2020-02-04,0,0,0,0,1.09036144578313
"Iran",2020-02-05,0,0,0,0,1.05813953488372
"Iran",2020-02-06,0,0,0,0,1
"Iran",2020-02-07,0,0,0,0,1.05586592178771
"Iran",2020-02-08,0,0,0,0,1.11320754716981
"Iran",2020-02-09,0,0,0,0,1.07878787878788
"Iran",2020-02-10,0,0,0,0,1.17605633802817
"Iran",2020-02-11,0,0,0,0,0.925925925925926
"Iran",2020-02-12,0,0,0,0,0.897297297297297
"Iran",2020-02-13,0,0,0,0,1.02247191011236
"Iran",2020-02-14,0,0,0,0,0.989010989010989
"Iran",2020-02-15,0,0,0,0,0.932203389830508
"Iran",2020-02-16,0,0,0,0,1.04320987654321
"Iran",2020-02-17,0,0,0,0,0.859550561797753
"Iran",2020-02-18,0,0,0,0,1.01197604790419
"Iran",2020-02-19,2,2,0,0,1.08176100628931
"Iran",2020-02-20,5,2,0,3,0.892655367231638
"Iran",2020-02-21,18,4,0,14,0.920454545454545
"Iran",2020-02-22,28,5,0,23,0.885714285714286
"Iran",2020-02-23,43,8,0,35,1.0188679245283
"Iran",2020-02-24,61,12,0,49,0.827777777777778
"Iran",2020-02-25,95,16,0,79,0.672839506172839
"Iran",2020-02-26,139,19,49,71,0.536585365853659
"Iran",2020-02-27,245,26,49,170,0.467455621301775
"Iran",2020-02-28,388,34,73,281,0.47239263803681
"Iran",2020-03-01,978,54,175,749,0.414012738853503
"Iran",2020-03-02,1501,66,291,1144,0.407894736842105
"Iran",2020-03-03,2336,77,291,1968,0.285714285714286
"Iran",2020-03-04,2922,92,552,2278,0.392638036809816
"Iran",2020-03-05,3513,107,739,2667,0.315151515151515
"Iran",2020-03-06,4747,124,913,3710,0.282485875706215
"Iran",2020-03-07,5823,145,1669,4009,0.281609195402299
"Iran",2020-03-08,6566,194,2134,4238,0.343195266272189
"Iran",2020-03-09,7161,237,2394,4530,0.272727272727273
"Iran",2020-03-10,8042,291,2731,5020,0.244186046511628
"Iran",2020-03-11,9000,354,2959,5687,0.316091954022989
"Iran",2020-03-12,10075,429,2959,6687,0.322222222222222
"Iran",2020-03-13,11364,514,2959,7891,0.258064516129032
"Iran",2020-03-14,12729,611,2959,9159,0.221621621621622
"Iran",2020-03-15,13938,724,4590,8624,0.359116022099448
"Iran",2020-03-16,14991,853,4590,9548,0.297752808988764
"Iran",2020-03-17,16169,988,5389,9792,0.230366492146597
"Iran",2020-03-18,17361,1135,5389,10837,0.251207729468599
"Iran",2020-03-19,18407,1284,5710,11413,0.225225225225225
"Iran",2020-03-20,19644,1433,6745,11466,0.167441860465116
"Iran",2020-03-21,20610,1556,7635,11419,0.117924528301887
"Iran",2020-03-22,21638,1685,7931,12022,0.162679425837321
"Iran",2020-03-23,23049,1812,7931,13306,0.176795580110497
"Iran",2020-03-24,24811,1934,8913,13964,0.16751269035533
"Iran",2020-03-25,27017,2077,9625,15315,0.167464114832536
"Iran",2020-03-26,29406,2234,10457,16715,0.15
"Iran",2020-03-27,32332,2378,11133,18821,0.1256038647343
"Iran",2020-03-28,35408,2517,11679,21212,0.133333333333333
"Iran",2020-03-29,38309,2640,12391,23278,0.2
"Iran",2020-03-30,41495,2757,13911,24827,0.114754098360656
"Iran",2020-03-31,44605,2898,14656,27051,0.0508474576271186
"Iran",2020-04-01,47593,3036,15473,29084,0.173267326732673
"Iran",2020-04-02,50468,3160,16711,30597,0.181395348837209
"Iran",2020-04-03,53183,3294,17935,31954,0.186274509803922
"Iran",2020-04-04,55743,3452,19736,32555,0.11587982832618
"Iran",2020-04-05,58226,3603,19736,34887,0.118556701030928
